address,name,area,floor
63,두정역효성해링턴플레이스,59.86,3
63,두정역효성해링턴플레이스,84.93,14
63,두정역효성해링턴플레이스,84.82,21
63,두정역효성해링턴플레이스,84.82,18
63,두정역효성해링턴플레이스,59.86,28
63,두정역효성해링턴플레이스,59.86,2
63,두정역효성해링턴플레이스,59.86,9
63,두정역효성해링턴플레이스,51.92,21
63,두정역효성해링턴플레이스,51.92,3
63,두정역효성해링턴플레이스,84.82,13
63,두정역효성해링턴플레이스,59.86,32
63,두정역효성해링턴플레이스,51.92,16
63,두정역효성해링턴플레이스,59.86,10
63,두정역효성해링턴플레이스,59.86,25
63,두정역효성해링턴플레이스,51.92,19
63,두정역효성해링턴플레이스,59.92,16
63,두정역효성해링턴플레이스,59.86,4
63,두정역효성해링턴플레이스,51.92,27
63,두정역효성해링턴플레이스,59.86,22
63,두정역효성해링턴플레이스,71.66,2
63,두정역효성해링턴플레이스,59.92,30
63,두정역효성해링턴플레이스,71.42,23
63,두정역효성해링턴플레이스,71.4,29
63,두정역효성해링턴플레이스,71.4,5
63,두정역효성해링턴플레이스,51.92,25
63,두정역효성해링턴플레이스,59.92,21
63,두정역효성해링턴플레이스,71.4,14
63,두정역효성해링턴플레이스,59.92,19
63,두정역효성해링턴플레이스,59.92,4
63,두정역효성해링턴플레이스,71.4,32
63,두정역효성해링턴플레이스,51.92,12
63,두정역효성해링턴플레이스,59.86,17
63,두정역효성해링턴플레이스,59.86,20
63,두정역효성해링턴플레이스,59.96,23
63,두정역효성해링턴플레이스,51.87,8
63,두정역효성해링턴플레이스,84.82,24
63,두정역효성해링턴플레이스,59.92,28
63,두정역효성해링턴플레이스,51.92,1
63,두정역효성해링턴플레이스,71.42,2
63,두정역효성해링턴플레이스,59.96,20
63,두정역효성해링턴플레이스,59.96,24
63,두정역효성해링턴플레이스,59.86,24
63,두정역효성해링턴플레이스,84.93,31
63,두정역효성해링턴플레이스,59.92,6
63,두정역효성해링턴플레이스,51.92,28
63,두정역효성해링턴플레이스,51.92,13
63,두정역효성해링턴플레이스,59.96,10
63,두정역효성해링턴플레이스,71.4,31
63,두정역효성해링턴플레이스,71.42,27
63,두정역효성해링턴플레이스,59.96,16
63,두정역효성해링턴플레이스,71.66,11
63,두정역효성해링턴플레이스,71.66,32
63,두정역효성해링턴플레이스,51.92,20
63,두정역효성해링턴플레이스,71.66,26
63,두정역효성해링턴플레이스,59.86,31
63,두정역효성해링턴플레이스,59.86,15
63,두정역효성해링턴플레이스,84.93,24
63,두정역효성해링턴플레이스,59.92,18
63,두정역효성해링턴플레이스,59.96,2
