address,name,deal,area,month,day,acount,floor,property,
2045,두정역이안더센트럴,전세,114.946,4,28,36000,10,중개거래,
2045,두정역이안더센트럴,전세,84.975,4,7,29000,11,중개거래,
2045,두정역이안더센트럴,전세,102.503,5,21,27000,15,중개거래,
2045,두정역이안더센트럴,전세,102.503,5,21,27000,15,중개거래,
2045,두정역이안더센트럴,전세,84.975,5,28,21000,7,중개거래,
2045,두정역이안더센트럴,전세,84.975,5,8,26000,15,중개거래,
2045,두정역이안더센트럴,전세,84.925,6,7,26000,9,중개거래,
2045,두정역이안더센트럴,전세,84.925,7,11,25000,22,중개거래,
2045,두정역이안더센트럴,전세,84.975,7,20,26500,7,중개거래,
2045,두정역이안더센트럴,전세,84.975,7,20,22000,6,중개거래,
2045,두정역이안더센트럴,전세,84.966,7,29,21000,17,직거래,
2045,두정역이안더센트럴,전세,84.925,7,30,26000,19,중개거래,
2045,두정역이안더센트럴,전세,114.946,7,9,29400,17,중개거래,
2045,두정역이안더센트럴,전세,84.925,8,13,23500,22,중개거래,
2045,두정역이안더센트럴,전세,84.975,8,19,26500,16,직거래,
2045,두정역이안더센트럴,전세,84.975,8,19,26500,16,중개거래,
2045,두정역이안더센트럴,전세,114.946,8,26,30000,10,중개거래,
2045,두정역이안더센트럴,전세,84.975,8,9,21000,16,중개거래,
2045,두정역이안더센트럴,전세,84.925,9,17,26000,8,중개거래,
2045,두정역이안더센트럴,전세,114.946,9,2,28350,9,중개거래,
2045,두정역이안더센트럴,전세,84.975,9,28,27000,19,중개거래,
2045,두정역이안더센트럴,전세,84.975,9,3,24150,12,중개거래,
2045,두정역이안더센트럴,전세,114.946,10,8,30000,10,중개거래,
2056,두정역코아루스위트,전세,127.1148,1,6,33500,17,중개거래,
